gvkey,GIC_Industry,GIC_SubIndustry,suitflag,idbflag,restatementflag,Vol_capx_Variance,Vol_cogs_Variance,Vol_cshfd_Variance,Vol_dltt_Variance,Vol_dp_Variance,Vol_emp_Variance,Vol_epspi_Variance,Vol_ni_Variance,Vol_ppent_Variance,Vol_sale_Variance,Vol_teq_Variance,Vol_txt_Variance,Vol_wcap_Variance,Vol_xint_Variance,Vol_xsga_Variance,Vol_roa_Variance,Vol_roe_Variance,STD_at,StdDev_capx,StdDev_cogs,StdDev_cshfd,StdDev_dltt,StdDev_dp,StdDev_emp,StdDev_epspi,StdDev_ni,StdDev_ppent,StdDev_sale,StdDev_teq,StdDev_txt,StdDev_wcap,STD_xido,StdDev_xint,StdDev_xsga,StdDev_roa,StdDev_roe
15314,Electrical Equipment,Electrical Components & Equipment,1.0,B,1,0.11368338818983763,0.15523593246315273,0.47813111187626844,0.08351257956594611,0.08855643404270551,0.13030907591450944,2.196958529148451,0.1462584890912402,0.008811251003853684,0.11407427955442191,3.0,0.18049056310717615,0.043529232202263415,0.08649120332591516,0.10899274624478783,0.07007871030615366,1.285645303361122,0.0548384483435248,0.9402588097327229,0.3447412676357987,0.20306212246484903,0.03950062470843662,0.04763647196602771,0.10180020330777581,0.14800646451510435,0.22567881083981856,1.3815989475312247,0.3369211725919971,0.049946908235143236,0.18191377010624354,0.12274802303060217,0.20650562459192917,0.09931513192838465,0.025414171029105547,0.12034258117170245,0.2079704838186747
160282,Machinery,Industrial Machinary,1.0,D,1,0.08555188551069358,0.15126959492081452,0.03948904890671435,0.08351257956594611,0.0907831831455963,0.15392590545088383,0.14234534144707667,0.09175703418216173,0.09088061391032386,0.11594016248909256,0.009469196575848162,0.18049056310717615,0.0484253849278974,0.08565246223480456,0.10932925935943578,0.04239031992804287,0.07146011887406757,0.21123128085565027,0.17894936328637343,0.3493998444896094,0.20736110624223678,0.14355125266714527,0.267400149442321,0.33678004757050456,1.013017573905997,0.2687936089392476,0.21649530158880864,0.36600492368063586,0.31351709321897375,0.1953333282926134,0.28862226464699225,0.20650562459192917,0.10041045091715495,0.24159116288557408,0.12131735038000434,0.2012163891193298
162384,Machinery,Industrial Machinary,1.0,D,1,0.08555188551069358,0.15126959492081452,0.03948904890671435,0.08351257956594611,0.0907831831455963,0.23546410279695426,0.14234534144707667,0.09175703418216173,0.09088061391032386,0.11594016248909256,0.009469196575848162,0.18049056310717615,0.04756729630587909,0.08649120332591516,0.10932925935943578,0.04070287324140863,0.07146011887406757,,,,,,,,,,,,,,,,,,,
164494,Aeorspace & Defense,Aerospace & Defense,1.0,D,1,0.08555188551069358,0.15126959492081452,0.03948904890671435,0.08351257956594611,0.0907831831455963,0.1939303129286308,0.14234534144707667,0.09175703418216173,0.09088061391032386,0.11594016248909256,0.009469196575848162,0.18049056310717615,0.04910351634529769,0.08649120332591516,0.10932925935943578,0.04070287324140863,0.07146011887406757,0.17738801572267648,0.13297817498675532,0.541477695599676,0.21991304851345292,0.14450543419561454,0.02644602178285088,0.15141558960091905,0.6741172478480082,1.017419009383236,0.087098895726117,0.18559342962374117,0.1106507122709497,0.1389526206294778,0.3514135558161149,0.20650562459192917,0.10154990449406623,0.20542516395994156,0.11936942405066857,0.20022991484459357
165979,Electrical Equipment,Electrical Components & Equipment,1.0,D,1,0.0855506616692138,0.15126959492081452,0.03948904890671435,0.08351261651306381,0.0907831831455963,0.22928655247841187,0.14234534144707667,0.09175703418216173,0.09088061391032386,0.11594016248909256,0.009469196575848162,0.18049056310717615,0.04756949090593535,0.08649120332591516,0.10932925935943578,0.04070287324140863,0.07146011887406757,0.21077573503023936,0.22044013571294782,0.34660984203319684,0.22086078855848398,0.15132695770929913,0.30347451309825785,0.35533622865598186,0.40115595883308514,0.403476215620607,0.26926004806119336,0.37025989727411573,0.2978274911028182,0.2115355523112824,0.24275487849842434,0.20650562459192917,0.13906527634747415,0.25817447833064505,0.1251416616590379,0.24904572825522495
171058,Machinery,Agricultural & Farm Machinery,1.0,D,1,0.08555188551069358,0.15139977550023484,1.299999437188706,0.08351257956594611,0.0907831831455963,0.24694450604380294,0.14234534144707667,0.08906832024124604,0.09088061391032386,0.11694863285515171,0.0013116081283390073,0.18049056310717615,0.04673554288453651,0.08650997550790064,0.10948752568366864,3.0,0.8360069538045438,0.22039314435724258,0.22473345671035752,0.3602226787392313,1.7379033327386504,0.15166671904852672,0.3177408601573399,0.35689099184421114,0.3985684746267983,0.36144082259990684,0.28174359152091444,0.38019794649690597,0.3291107742890241,0.23476404741200824,0.3262180937133486,0.20650562459192917,0.1278362949213266,0.2468395561201935,0.028893581625405527,0.3977046614947676
174310,Construction & Engineering,Construction & Engineering,1.0,D,1,0.08555188551069358,0.15126959492081452,0.03948904890671435,0.08351257956594611,0.0907831831455963,0.7085257213219,0.14234534144707667,0.09175703418216173,0.09088061391032386,0.11594016248909256,0.009469196575848162,0.18049056310717615,2.4937795689044164,0.07297523229637974,0.10932925935943578,0.04070287324140863,0.07146011887406757,0.17606407097106286,0.19023035304591482,0.6062402014996016,0.20027906237365362,0.15050447043911777,0.2530561465567475,0.5203759062767166,0.05783167792382696,0.25720395757290637,0.21719928224319793,0.5438856809023503,0.20621562160105755,0.051204330503984846,0.11670415756398614,0.20650562459192917,0.11173411571397408,0.207238926334174,0.12308033941839891,0.23524166691713214
177031,Machinery,Industrial Machinary,1.0,D,1,0.08555188551069358,0.1519573037477522,0.2399749357768498,0.08343646850351022,0.0908871796696324,0.2220429647155193,2.2477188249830515,0.09175703418216173,0.0893468929116442,0.11594016248909256,0.009469196575848162,0.18049056310717615,0.23701966059654778,0.08649120332591516,0.10932925935943578,0.04070287324140863,0.07146011887406757,0.21538844330607407,0.21967724516342854,0.3433384576087451,0.10613563446966935,0.15117646597134363,0.3115695635016848,0.32877318562567637,1.178239671850416,0.30338707786273467,0.27726691916701623,0.35414676810568485,0.29847360968510583,0.2255285214393201,0.25715886059952525,0.20650562459192917,0.13689514643682832,0.22540250757320904,0.1103094090856827,0.19244716434578532
179249,Electrical Equipment,Heavy Electrical Equipment,1.0,D,1,0.08555188551069358,0.15110750378153628,0.7999386111318021,0.08351257956594611,0.09169468209155984,0.22494039982067632,2.3380047919343574,0.09175703418216173,0.09088061391032386,0.11594016248909256,0.009469196575848162,0.18049056310717615,0.04756729630587909,0.08649120332591516,0.10932925935943578,0.04070287324140863,0.07146011887406757,0.2166926879026701,0.21959145494930596,0.3354900173119721,0.14455307112042776,0.15034005277031728,0.300151971840177,0.3517049751613765,0.23517571786855077,0.27924169360729734,0.24065231341527082,0.3552351278375776,0.3191121424411373,0.2342979729496874,0.32838642577733496,0.1193121132201657,0.13911016418896396,0.25901858240516634,0.11066716747680684,0.19858864292152503
179738,Machinery,Industrial Machinary,1.0,B,1,0.08555188551069358,0.15174535235869602,0.03948904890671435,0.08351257956594611,0.0907831831455963,0.2446484253944332,0.14234534144707667,0.09175703418216173,0.09088061391032386,0.11594016248909256,0.009469196575848162,0.18049056310717615,0.12328451267813362,0.08649120332591516,0.10865439282404417,0.04070287324140863,0.07146011887406757,0.21739025955747976,0.20618656170567853,0.36005467896297166,0.220731570835383,0.15187661280494769,0.3072207245213029,0.3588873528362011,0.3265390395120288,0.36429144999690694,0.27229478455280454,0.3760815960724205,0.31728229390436585,0.22956456316662363,0.29908166610460685,0.20650562459192917,0.1403007972988267,0.2676184659265684,0.1175031075222283,0.22805800633386428
