gvkey,tic,conm,GIC_Industry,GIC_SubIndustry,suitflag,idbflag,restatementflag,Vol_capx_Variance,Vol_cogs_Variance,Vol_cshfd_Variance,Vol_dltt_Variance,Vol_dp_Variance,Vol_emp_Variance,Vol_epspi_Variance,Vol_ni_Variance,Vol_ppent_Variance,Vol_sale_Variance,Vol_teq_Variance,Vol_txt_Variance,Vol_wcap_Variance,Vol_xint_Variance,Vol_xsga_Variance,Vol_roa_Variance,Vol_roe_Variance,STD_at,StdDev_capx,StdDev_cogs,StdDev_cshfd,StdDev_dltt,StdDev_dp,StdDev_emp,StdDev_epspi,StdDev_ni,StdDev_ppent,StdDev_sale,StdDev_teq,StdDev_txt,StdDev_wcap,STD_xido,StdDev_xint,StdDev_xsga,StdDev_roa,StdDev_roe
189496,SURP.1,SUREPURE INC -OLD,Machinery,Industrial Machinary,No,D,1,0.0,0.0,32.452,0.0,0.0,0.0,0.0,-0.040999999999999995,0.0,0.0,-0.12,0.0,-0.12,0.001,0.04,0.0,0.3416666666666666,0.0,0.0,0.0,22.94702926306584,0.0,0.0,0.0,0.0,0.01767766952966369,0.0,0.0,0.013435028842544402,0.0,0.013435028842544402,0.0,0.0007071067811865475,0.01697056274847714,0.0,0.9304036594559837
189593,5445B,DYNACAST INTERNATIONAL INC,Machinery,Industrial Machinary,No,D,1,0.0,0.8999999999999773,0.0,0.0,0.0,-5.51,0.0,-0.9000000000000004,0.0,0.0,-353.6,0.0,-34.1,-3.3999999999999986,0.0,-0.0011143141839501883,inf,142.2520181461995,13.25729359007084,39.82221950954854,0.0,185.8443345024719,8.95972469815154,2.434253941149115,0.0,20.597815418145682,36.369217753479376,64.15098726182374,108.46782549063418,4.620966709827428,12.481285991435337,0.0,21.63662019201089,13.396516960264957,0.03747965333475861,0.058390118275645
1926,AZZ,AZZ INC,Electrical Equipment,Heavy Electrical Equipment,No,D,1,0.0,0.0,12.681,0.0,0.0,-2.927,-1.62,0.0,0.0,0.0,0.0,0.0,0.0010000000000047748,0.0,0.0,-1.0893596824601559e-07,0.0,208.65695246696188,12.20876972917419,109.74164090034374,7.143375938588142,102.66214659162354,10.072707729304964,0.5517664360941141,0.4005621050473947,12.342845235195977,40.41610935876931,161.10375311984512,59.44730432492294,6.813690908751291,40.15460964571814,0.0,4.765272164315487,23.865725239346908,0.01661644528088582,0.018075746285729374
19305,PLPC,PREFORMED LINE PRODUCTS CO,Electrical Equipment,Electrical Components & Equipment,No,D,1,0.0,0.0,0.0,-0.4009999999999998,0.0,-2.9010000000000002,0.0,0.0,0.0,0.0,1.1999999999999886,0.0,0.0,0.0,0.0,0.0,-0.000721508555204059,25.110350951682587,4.150704066781925,27.65909852110152,0.05810550748423121,8.940482998697554,1.1917341356191822,0.12430205147140565,0.9492804292375004,4.9421036344185785,10.763220719189958,44.718837189525956,25.975274968066604,3.88547005950803,14.128264212799351,0.0,0.1556242804534905,7.658008852393241,0.014113570295202403,0.026401770630465435
19349,SIEGY,SIEMENS AG,Industrial Congolomerates,Industrial Conglomerates,No,B,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.1311377803969,266.917627184087,2058.750230878349,14.901977617640826,2560.975489149838,166.5648850435868,21.929812280698307,1.5131644546005787,1344.785720066212,1169.978964476997,2034.0098338414182,1961.5697072434125,364.02845666639405,101.36285982013618,565.241840384789,48.65964911077075,746.9206822472286,0.009455709534201192,0.025356179324065937
19431,MFRI,MFRI INC,Machinery,Industrial Machinary,No,D,1,-10.086,-191.62099999999998,-6.877999999999999,-34.681999999999995,-5.582000000000001,-1.212,0.73,4.987,-47.842,-233.49599999999998,-72.119,1.0350000000000001,-42.948,-2.165,-41.38399999999999,0.03175482498869765,0.06914959996672167,6.642708543960069,2.7735654309931106,10.129049846851375,0.10230933486246534,5.4311296522915,0.29266738800214787,0.0903863927812146,2.0812808556271305,14.506754674978135,2.13552188000966,8.82221079435307,9.62704468152091,5.104646579343177,9.860080390138815,3.6823567453466537,0.18642210169397835,2.2188803032160154,0.09274654660967332,0.22558705236715876
19622,XDSL,MPHASE TECHNOLOGIES INC,Electrical Equipment,Electrical Components & Equipment,No,D,1,0.0,7.971000000000001,0.0,0.0,0.0,-0.006,0.0,0.0010000000000012221,0.0,0.0,-0.0389999999999997,0.0,0.0010000000000000009,0.0,-7.971,-0.008781301665448549,-0.004644690265057538,2.8541145153386305,0.0061846584384264896,0.020231987873991362,1577.3868663789858,1.9289113509956854,0.009469248474227863,0.0027080128015453202,0.005,4.485946276985493,0.019015344680897404,0.1692303656755095,1.2950825906739183,0.0,2.0251156962833834,0.43933737984985227,0.27762324590470927,2.9057245223868007,22.683935764141598,0.7419587711701654
1974,BKR,BAKER (MICHAEL) CORP,Construction & Engineering,Construction & Engineering,Yes,D,1,0.0,0.0,0.0,0.0,0.0,-3.2460000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.24951948479231,1.6102459439476937,47.54521739355075,0.2363112354502005,0.0,3.9006699851863047,0.18330939237620478,0.796576005999009,7.336140833799018,2.2258536190264944,47.24554248109899,15.382350373073676,2.741552905441246,6.9429066679597495,1.8016815293867374,0.13736933185152111,5.063236909329838,0.020076742911602257,0.03425759009962017
20147,SDPI,SUPERIOR DRILLING PRODUCTS,Machinery,Industrial Machinary,No,D,1,0.0,0.0,-16.279,0.0,0.0,-0.054000000000000006,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2098597026101818,0.5819488809165287,0.7855956338982537,0.0,4.842267237565479,0.25526554800834367,0.03818376618407357,0.014142135623730963,0.12940054095713824,0.15061374439273342,1.3915861453751255,1.1589480143647513,0.0,3.5878598077405424,0.0,0.14707821048680203,0.6420529573173853,0.004428050116588737,11.875208708024585
2049,B,BARNES GROUP INC,Machinery,Industrial Machinary,No,D,1,0.0,-674.5939999999999,0.0,0.0,5.225000000000001,-2.109000000000001,0.0,0.0,0.0,-391.45799999999974,0.0,-10.918000000000001,0.0,-0.030000000000001137,-322.625,0.0,0.0,347.88318079912483,12.096603297344805,40.33203570777621,0.4900425151623764,170.32229957617605,5.514917648221654,0.38452438154166524,1.8938914963640336,101.28457417716677,41.928054461382594,58.651269104626564,202.1219721115199,10.061433740609074,105.2732954880613,104.77760321111886,4.223197949027098,42.18611243051439,0.041721254513370214,0.07359796564367604
