GIC_Industry,GIC_SubIndustry,suitflag,stko,restatementflag,Vol_roe_Variance,Vol_capx_Variance,Vol_cogs_Variance,Vol_cshfd_Variance,Vol_dltt_Variance,Vol_dp_Variance,Vol_emp_Variance,Vol_epspi_Variance,Vol_ni_Variance,Vol_ppent_Variance,Vol_sale_Variance,Vol_teq_Variance,Vol_txt_Variance,Vol_wcap_Variance,Vol_xint_Variance,Vol_xsga_Variance,Vol_roa_Variance,STD_at,StdDev_capx,StdDev_cogs,StdDev_cshfd,StdDev_dltt,StdDev_dp,StdDev_emp,StdDev_epspi,StdDev_ni,StdDev_ppent,StdDev_sale,StdDev_teq,StdDev_txt,StdDev_wcap,STD_xido,StdDev_xint,StdDev_xsga,StdDev_roa,StdDev_roe,Foreign_and_Domestic_indicator
Machinery,Industrial Machinary,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10374963172139548,0.1044718454634758,0.07320937008143913,0.07203402710571995,0.17479419616073313,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12356384294145488,0.07051824034266009,0.07757607843268048,0.07268644190199429,0.22166601629051846,0.2063606936589454,0.302816390970718,0.24844700227936206,0.17230774838242655,0.24945791521959976,0.3362575282256177,0.6868224776011068,0.2443429188774452,0.2067104887377445,0.30686699034935355,0.3417666273511671,0.21263958699350585,0.3232994779572285,0.20395647347146748,0.08694120214555141,0.25850460852263096,0.12369248348998865,0.043555579512215566,0
Machinery,Industrial Machinary,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10374963172139548,0.1044718454634758,0.07320937008143913,0.07203402710571995,0.3353557713989069,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12306625287690673,0.0714495556435292,0.07757607843268048,0.07512715704611461,,,,,,,,,,,,,,,,,,,,0
Aeorspace & Defense,Aerospace & Defense,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10374963172139548,0.1044718454634758,0.07320937008143913,0.07203402710571995,0.5101895807353444,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.1239570790794224,0.0714495556435292,0.07757607843268048,0.07512715704611461,0.1907486106451348,0.16554401716743,0.35256638385974715,0.2774592627981557,0.17324126110771995,0.02118822781852841,0.1512885346909296,0.4357844218446904,1.162737529909901,0.06247551987681382,0.06553466008694235,0.12992170327797187,0.1436740033466992,0.4370033563896201,0.20395647347146748,0.08822943729165703,0.2282194968718455,0.1227347189221166,0.2392326183559983,0
Electrical Equipment,Electrical Components & Equipment,1.0,0,1,0.0255739905303885,0.0871124220835912,0.10374963172139548,0.1044718454634758,0.07320941124570851,0.07203402710571995,0.3231912001606141,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12306752548576742,0.0714495556435292,0.07757607843268048,0.07512715704611461,0.221249853871823,0.2431993201586794,0.3007638983784317,0.27964984657367137,0.17991502161965114,0.2774817063093367,0.3547741207634995,0.3607167156785615,0.3916819046356633,0.2534950835161706,0.30973965880327897,0.32538262841796195,0.2299094502055361,0.2688133029997009,0.20395647347146748,0.13064329382786247,0.27239134121946285,0.12557283686085802,0.2736196229579985,0
Machinery,Agricultural & Farm Machinery,1.0,3,1,0.19751102446927202,0.08711377199076499,0.10388255277572801,1.270061059030973,0.07320937008143913,0.07203402710571995,0.3579624967090084,0.11081189206204332,0.06921500148210756,0.08508070812795063,0.0016697155951401644,0.09300978558971744,0.08456766637146466,0.12258393411868734,0.07147039976396047,0.07775270106903452,3.0,0.23003580712581176,0.24701125325650095,0.3107783148299013,3.0,0.18024742328984544,0.2885642893151107,0.35632556695367884,0.3588000547771036,0.34569636629312955,0.2645637905830678,0.3164491529678528,0.3580504599254407,0.2546685778752081,0.3679598149022575,0.20395647347146748,0.11794811359301495,0.26289957008375137,0.04983614394819735,0.1819665298650732,0
Construction & Engineering,Construction & Engineering,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10374963172139548,0.1044718454634758,0.07320937008143913,0.07203402710571995,1.5235091299924208,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,1.3506148078565825,0.056441788933015276,0.07757607843268048,0.07512715704611461,0.18953912518984892,0.21637680432631146,0.4002095546791774,0.23207773469660464,0.17911035048507384,0.2383150065299342,0.5190697325775314,0.02072482104706502,0.3310836330049807,0.2073346829554632,0.3074291924316808,0.22971616338758166,0.05014357407904487,0.15819049149431394,0.20395647347146748,0.09974342881767588,0.2297383266468664,0.12455931731685975,0.2638957181903703,0
Machinery,Industrial Machinary,1.0,3,1,0.0255739905303885,0.08711377199076499,0.1044518177368318,0.1539474497330685,0.07312457168649401,0.07214947789937477,0.30892743300066905,2.581422672592283,0.07337648294083231,0.08337116522180522,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.04196057374802936,0.0714495556435292,0.07757607843268048,0.07512715704611461,0.2254637786313714,0.2425219685845757,0.2983572724336139,0.014476856882972459,0.1797677897269333,0.2837702164416337,0.3282677484613164,0.8092095957205093,0.28218720145139137,0.2605944869090224,0.29886117111369426,0.3260573431802964,0.2448244805429099,0.28592388973127525,0.20395647347146748,0.12818980412090386,0.2449483609924797,0.1182800528563764,0.23375026625489706,0
Electrical Equipment,Heavy Electrical Equipment,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10358412834733798,0.6717437535564131,0.07320937008143913,0.07304591935598875,0.31463293986464713,2.799825971928648,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12306625287690673,0.0714495556435292,0.07757607843268048,0.07512715704611461,0.22665526707361605,0.24244579758387946,0.2925834905743532,0.5649590486164884,0.17894949431514304,0.2749006433974157,0.3511506143398643,0.2377680083982133,0.25577282980683835,0.2281296385473655,0.2995959574994717,0.3476093045464521,0.25417179161909736,0.3705355910718804,0.11911315315409922,0.1306940427975544,0.27309818706642336,0.11845595699901125,0.2380764678951437,0
Machinery,Industrial Machinary,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10423540448820404,0.1044718454634758,0.07320937008143913,0.07203402710571995,0.3534411516469881,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.023992380459667624,0.0714495556435292,0.07682293838696473,0.07512715704611461,0.2272925314077083,0.2305439257557591,0.3106547241515181,0.2793511758050169,0.18045277047665687,0.2803918905969568,0.3583176688240432,0.3054447524710483,0.34881487253382226,0.2561858747453796,0.3136700734389358,0.3456984698259515,0.2491264756559428,0.3357242709446615,0.20395647347146748,0.1320401401281713,0.2802996591774237,0.12181708060261015,0.25883537908553744,1
Electrical Equipment,Electrical Components & Equipment,1.0,3,1,0.0255739905303885,0.08711377199076499,0.10374963172139548,0.1044718454634758,0.07320937008143913,0.07203402710571995,0.3387467801954221,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12306625287690673,0.0714495556435292,0.07757607843268048,0.07512715704611461,0.21178225334885453,0.2209861379317014,0.1678084615148649,0.2794862379878661,0.18050036236922545,0.2756510502216625,0.3552767001000484,0.2923775952228021,0.35715117506989985,0.2303535260605676,0.19600440689580068,0.280519649747377,0.2420912863334363,0.19911078285455575,0.20395647347146748,0.13181613740551149,0.2770371976520278,0.12461718210213947,0.2691242172025524,0
Construction & Engineering,Construction & Engineering,1.0,0,1,0.036002822821498914,0.08714346994858825,0.09120728989545017,0.1044718454634758,0.07256461412997058,0.06972048375051923,0.015901212552590686,0.2763266665746901,0.1407987719648059,0.08508070812795063,0.029584274521803063,0.1170838185953088,0.05270900637211275,0.13199742186155924,0.07005133204499964,0.07665071664686532,0.1036140364335008,0.22259977919899016,0.2400562604333177,0.2983881779608936,0.18332811071892435,0.1669645476572742,0.2475601075971428,0.04109936458259635,0.9521234431392498,0.285387556832554,0.24154193250526576,0.30333875114066244,0.3131799192354069,0.2450703178229496,0.34953269142072324,0.005312401782277594,0.09334880873154604,0.26863898926398777,0.12232823988030835,0.01245354980059198,0
Machinery,Industrial Machinary,1.0,0,1,0.0255739905303885,0.08711377199076499,0.10359486570270188,0.1044718454634758,0.07320937008143913,0.07298027086547916,0.28260674567533656,0.11081189206204332,0.07337648294083231,0.08508070812795063,0.0019931727701915183,0.09434939188969088,0.08456766637146466,0.12085191345922427,0.0714495556435292,0.07759954987937204,0.07512715704611461,0.2237940942605953,0.21570905397855056,0.29742080943173804,0.2866398903349116,0.17750062452484255,0.2709198586852409,0.3359959287251658,0.1212210615412049,0.35331160257032584,0.24650333080074754,0.2979176336629134,0.33689713686054623,0.2485198209511548,0.3653707031602942,0.1727138445532595,0.1304039047909878,0.2572608289222821,0.12459192442621315,0.2660486080435135,0
