Date,Month,Sub-Category,Description,Account Name,Transaction Type,Count,Amount,Transfer Type
2020-09-26,2020-09-26,Transfer,Transfer from *********-00S 09/26/2020 10:18 254226,CHECKING,credit,1,-246.92,In
2020-09-26,2020-09-26,Transfer,Transfer to *********-09S 09/26/2020 10:18 254226,SAFETY NET,debit,1,-246.92,Out
2020-09-28,2020-09-28,Transfer,Transfer from *********-00S 09/28/2020 11:12 285378,CHECKING,credit,1,-251.62,In
2020-09-28,2020-09-28,Transfer,Transfer to *********-09S 09/28/2020 11:12 285378,SAFETY NET,debit,1,-251.62,Out
2020-09-30,2020-09-30,Transfer,Transfer from *********-02S 09/30/2020 11:31 342473,EMERSYN,credit,1,-400.0,In
2020-09-30,2020-09-30,Transfer,Transfer from *********-03S 09/30/2020 11:31 342457,CHECKING,credit,1,-310.0,In
2020-09-30,2020-09-30,Transfer,Transfer to *********-03S 09/30/2020 11:31 342473,CREDIT CARD,debit,1,-400.0,Out
2020-09-30,2020-09-30,Transfer,Transfer to *********-09S 09/30/2020 11:31 342457,EMERSYN,debit,1,-310.0,Out
2020-10-02,2020-10-02,Transfer,Transfer from *********-09S 10/02/2020 16:10 413623,EMERSYN,credit,1,-10.0,In
2020-10-02,2020-10-02,Transfer,Transfer to *********-03S 10/02/2020 16:10 413623,CHECKING,debit,1,-10.0,Out
2020-10-04,2020-10-04,Transfer,Transfer from *********-03S 10/04/2020 14:59 448303,CHECKING,credit,1,-110.89,In
2020-10-04,2020-10-04,Transfer,Transfer to *********-09S 10/04/2020 14:59 448303,EMERSYN,debit,1,-110.89,Out
2020-10-07,2020-10-07,Transfer,Transfer from *********-00S 10/07/2020 15:20 507436,CHECKING,credit,1,-11.94,In
2020-10-07,2020-10-07,Transfer,Transfer to *********-09S 10/07/2020 15:20 507436,SAFETY NET,debit,1,-11.94,Out
2020-10-08,2020-10-08,Transfer,INTERNET PAYMENT - THANK YOU,Discover,credit,1,-459.01,In
2020-10-08,2020-10-08,Transfer,Transfer from *********-09S 10/08/2020 07:32 521004,SAFETY NET,credit,1,-1000.29,In
2020-10-08,2020-10-08,Transfer,Transfer to *********-00S 10/08/2020 07:32 521004,CHECKING,debit,1,-1000.29,Out
2020-10-09,2020-10-09,Transfer,DISCOVER DESC: E-PAYMENT,CHECKING,debit,1,-459.01,Out
2020-10-09,2020-10-09,Transfer,Transfer from *********-09S 10/09/2020 16:10 555037,EMERSYN,credit,1,-10.0,In
2020-10-09,2020-10-09,Transfer,Transfer from *********-09S 10/09/2020 16:43 556081,SAFETY NET,credit,1,-10.0,In
2020-10-09,2020-10-09,Transfer,Transfer to *********-00S 10/09/2020 16:43 556081,CHECKING,debit,1,-10.0,Out
2020-10-09,2020-10-09,Transfer,Transfer to *********-03S 10/09/2020 16:10 555037,CHECKING,debit,1,-10.0,Out
2020-10-11,2020-10-11,Transfer,*********-00s 10/11/2020 11:20 586682,VISA STARTER,credit,1,-100.0,In
2020-10-11,2020-10-11,Transfer,Payment to*********-01L 10/11/2020 11:20 586682,SAFETY NET,debit,1,-100.0,Out
2020-10-11,2020-10-11,Transfer,Transfer from *********-00S 10/11/2020 11:20 586691,CHECKING,credit,1,-210.29,In
2020-10-11,2020-10-11,Transfer,Transfer to *********-09S 10/11/2020 11:20 586691,SAFETY NET,debit,1,-210.29,Out
2020-10-14,2020-10-14,Transfer,Payroll  E*TRADE DESC: ACH TRNSFR,SAFETY NET,credit,1,-1500.0,In
2020-10-15,2020-10-15,Transfer,Transfer from *********-09S 10/15/2020 15:58 673442,CLUB SAVINGS,credit,1,-24.98,In
2020-10-15,2020-10-15,Transfer,Transfer to *********-06S 10/15/2020 15:58 673442,CHECKING,debit,1,-24.98,Out
2020-10-16,2020-10-16,Transfer,Transfer from *********-00S 10/16/2020 07:50 686233,CHECKING,credit,1,-51.63,In
2020-10-16,2020-10-16,Transfer,Transfer from *********-09S 10/16/2020 16:10 697053,EMERSYN,credit,1,-10.0,In
2020-10-16,2020-10-16,Transfer,Transfer to *********-03S 10/16/2020 16:10 697053,CHECKING,debit,1,-10.0,Out
2020-10-16,2020-10-16,Transfer,Transfer to *********-09S 10/16/2020 07:50 686233,SAFETY NET,debit,1,-51.63,Out
2020-10-19,2020-10-19,Transfer,Transfer from *********-09S 10/19/2020 12:06 741195,CLUB SAVINGS,credit,1,-60.0,In
2020-10-19,2020-10-19,Transfer,Transfer to *********-06S 10/19/2020 12:06 741195,CHECKING,debit,1,-60.0,Out
2020-10-21,2020-10-21,Transfer,Transfer from *********-00S 10/21/2020 10:36 778647,CHECKING,credit,1,-100.0,In
2020-10-21,2020-10-21,Transfer,Transfer from *********-03S 10/21/2020 14:28 783015,CHECKING,credit,1,-20.0,In
2020-10-21,2020-10-21,Transfer,Transfer from *********-09S 10/21/2020 07:31 775412,CLUB SAVINGS,credit,1,-75.0,In
2020-10-21,2020-10-21,Transfer,Transfer to *********-06S 10/21/2020 07:31 775412,CHECKING,debit,1,-75.0,Out
2020-10-21,2020-10-21,Transfer,Transfer to *********-09S 10/21/2020 10:36 778647,SAFETY NET,debit,1,-100.0,Out
2020-10-21,2020-10-21,Transfer,Transfer to *********-09S 10/21/2020 14:28 783015,EMERSYN,debit,1,-20.0,Out
2020-10-22,2020-10-22,Transfer,*********-09s 10/22/2020 08:01 798302,VISA STARTER,credit,1,-40.52,In
2020-10-22,2020-10-22,Transfer,INTERNET PAYMENT - THANK YOU,Discover,credit,1,-599.49,In
2020-10-22,2020-10-22,Transfer,Payment to*********-01L 10/22/2020 08:01 798302,CHECKING,debit,1,-40.52,Out
2020-10-22,2020-10-22,Transfer,Transfer from *********-09S 10/22/2020 07:41 797781,CLUB SAVINGS,credit,1,-25.0,In
2020-10-22,2020-10-22,Transfer,Transfer from *********-09S 10/22/2020 07:55 798166,SAFETY NET,credit,1,-800.0,In
2020-10-22,2020-10-22,Transfer,Transfer to *********-00S 10/22/2020 07:55 798166,CHECKING,debit,1,-800.0,Out
2020-10-22,2020-10-22,Transfer,Transfer to *********-06S 10/22/2020 07:41 797781,CHECKING,debit,1,-25.0,Out
2020-10-23,2020-10-23,Transfer,DISCOVER DESC: E-PAYMENT,CHECKING,debit,1,-599.49,Out
2020-10-23,2020-10-23,Transfer,Transfer from *********-09S 10/23/2020 16:10 829672,EMERSYN,credit,1,-10.0,In
2020-10-23,2020-10-23,Transfer,Transfer from *********-09S 10/23/2020 16:43 830650,SAFETY NET,credit,1,-10.0,In
2020-10-23,2020-10-23,Transfer,Transfer to *********-00S 10/23/2020 16:43 830650,CHECKING,debit,1,-10.0,Out
2020-10-23,2020-10-23,Transfer,Transfer to *********-03S 10/23/2020 16:10 829672,CHECKING,debit,1,-10.0,Out
