annual_revenue,Month_on_Book,Branch_Trans_3_Mos,ATM_Trans_3_Mos,signon_trans_3_Mos,CC_Visits_3_Mos,VRU_visits_3_Mos,BP_trans_3_Mos,RDC_trans_3_Mos,Checking_flag,Savings_flag,Loans_LOC_flag,CreditCard_flag,CDs_flag,HELoans_HELOC_flag,MMDA_flag,Customer_Value,Gender_P1,Household_Age,Auto_Refinance,Credit_Card,Home_Equity_ITA,Click,Open,DV,Dwelling_Type_Business,Dwelling_Type_Condo,Dwelling_Type_MobileHome,Dwelling_Type_MultiFamilyUnit,Dwelling_Type_SingleFamily,Dwelling_Type_Unknown
1297,367,0,10,101,0,0,0,6,1,1,0,0,0,0,1,30486.0,0,4.0,0,0,0,0,0,1,0,0,0,0,1,0
221,317,0,12,1,0,0,0,0,1,0,0,0,0,0,0,12370.0,0,5.0,0,1,0,0,0,1,0,0,0,1,0,0
617,517,1,5,1,0,0,0,0,1,0,1,1,0,0,0,3054.0,1,7.0,0,1,0,0,1,1,0,0,0,0,1,0
58,290,0,3,14,0,0,0,0,1,0,0,0,0,0,0,2670.0,0,5.0,0,1,0,0,1,1,0,0,0,0,1,0
678,494,6,0,3,0,1,0,0,0,1,0,1,1,0,1,22407.0,1,7.0,0,1,0,1,1,1,0,0,0,0,1,0
979,483,8,10,31,0,0,0,0,1,0,0,1,0,0,1,39701.0,1,6.0,0,1,0,0,1,1,0,0,0,0,1,0
51,320,1,7,51,0,0,11,0,1,0,1,0,0,0,0,1347.0,0,2.0,0,1,0,0,1,1,0,0,0,0,1,0
2662,297,16,6,24,1,2,0,0,1,0,0,0,0,0,0,100786.0,1,5.0,0,0,0,0,0,1,0,0,0,0,1,0
6400,297,0,2,1,0,0,0,0,1,0,1,0,0,0,1,300000.0,0,4.0,0,1,0,0,0,1,0,0,0,0,1,0
2854,391,0,0,9,0,0,31,0,1,1,0,0,0,1,0,109592.0,0,5.0,0,0,0,0,0,1,0,0,0,0,1,0
2009,449,4,36,409,2,1,0,0,1,1,1,1,0,1,0,13495.0,0,6.0,0,0,0,0,1,1,0,0,0,0,1,0
2567,494,13,0,29,0,0,0,0,1,0,1,1,0,0,1,46302.0,0,6.0,0,0,0,0,1,1,0,0,0,0,1,0
2,304,0,4,5,1,0,0,0,1,0,0,0,0,0,0,162.0,0,6.0,0,0,0,0,1,1,0,0,0,1,0,0
847,416,6,0,0,0,4,0,0,1,1,0,1,0,0,0,32659.0,1,6.0,0,1,0,0,1,1,0,0,0,0,1,0
3335,494,11,6,321,2,1,0,1,1,0,0,1,0,1,1,83377.0,1,3.0,0,1,0,0,0,1,0,0,0,0,1,0
137,343,1,20,0,1,4,0,0,1,0,0,0,0,0,0,3931.0,1,4.0,0,0,0,0,0,1,0,1,0,0,0,0
874,468,0,19,0,0,0,0,0,1,0,0,0,0,1,1,19338.0,1,6.0,0,1,0,0,0,1,0,0,0,0,1,0
291,494,0,0,1,0,0,0,0,0,0,0,1,0,0,0,335.0,1,5.0,0,0,0,0,0,1,0,0,0,0,1,0
1249,494,2,2,150,1,1,1,0,1,1,0,0,1,1,1,66004.0,1,4.0,0,1,0,0,1,1,0,0,0,0,1,0
987,362,7,5,40,0,1,28,0,1,0,0,0,0,0,0,13625.0,0,3.0,0,0,0,0,0,1,0,0,0,0,1,0
527,387,0,0,10,0,0,0,0,0,0,0,1,0,0,0,6509.0,1,5.0,0,1,0,0,0,1,0,0,0,0,1,0
